Unnamed: 0,ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,1,Yunis Abdelhamid,ma MAR,DF,Reims,34-364,1987,8,8,720,8.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.04,0.0,0.04,0.04,0.04,32c2d95f,6,0,0.0,0.75,0.0,0.0,,13.3,0,0.06,-0.3,-0.3,226,285,79.3,4640,1752,67,79,84.8,132,146,90.4,24,51,47.1,0.0,0,24,1,0,28,254,31,24,0,30,9,1,0,0,0,0,201,26,58,170,84,17,2,2,1,7,7,6,4,0.5,2,0,0,0,0,2,0,0.0,0,0,0,0,0,0,16,9,9,6,1,6,11,54.5,5,114,42,36.8,58,52,4,12,3,0,9,21,37,20,0,369,51,190,184,19,10,340,3,7,42.9,4,0,200,1187,677,17,2,0,1,11,199,193,97.0,1,0,13,4,0,0,0,0,71,17,6,73.9
1,2,Himad Abdelli,fr FRA,MF,Angers,22-314,1999,2,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7978cbf0,0,0,,0.0,0.0,,,,0,,0.0,0.0,13,15,86.7,280,48,4,5,80.0,6,6,100.0,3,4,75.0,0.0,0,2,0,0,3,15,0,0,0,1,1,0,0,0,0,0,15,0,0,1,14,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,15,0,1,9,9,0,15,2,2,100.0,2,0,14,101,47,5,2,0,0,0,17,15,88.2,1,0,0,0,0,0,0,0,0,0,1,0.0
2,3,Salis Abdul Samed,gh GHA,MF,Lens,22-185,2000,8,8,720,8.0,1,0,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,0.2,0.2,0.0,0.3,0.03,0.01,0.03,0.03,0.03,82464ce3,4,1,25.0,0.5,0.12,0.25,1.0,20.8,0,0.05,0.8,0.8,458,497,92.2,8094,1532,207,220,94.1,199,210,94.8,48,61,78.7,0.0,2,30,5,1,26,484,13,13,1,50,8,3,0,0,0,0,427,35,35,44,430,17,0,4,3,4,6,2,5,0.62,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,16,8,5,9,2,5,11,45.5,6,148,40,27.0,56,72,20,9,2,0,7,18,34,9,0,572,18,108,411,81,7,562,6,8,75.0,6,1,407,1791,756,25,4,0,7,9,464,441,95.0,13,0,20,13,0,0,0,0,62,3,5,37.5
3,4,Laurent Abergel,fr FRA,MF,Lorient,29-238,1993,8,8,693,7.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.02,0.05,0.06,0.02,0.06,31626657,3,0,0.0,0.39,0.0,0.0,,22.4,0,0.04,-0.1,-0.1,306,337,90.8,5440,1785,140,144,97.2,125,134,93.3,36,47,76.6,-0.4,5,29,1,0,23,331,6,6,2,65,5,1,0,0,0,0,281,30,26,21,307,7,0,0,1,4,4,4,10,1.3,8,0,1,0,0,1,0,0.0,0,0,0,0,0,0,31,21,24,7,0,8,27,29.6,19,137,39,28.5,84,49,4,11,1,0,10,10,41,12,0,418,26,163,228,42,1,412,2,5,40.0,3,0,283,909,434,13,5,1,5,7,301,290,96.3,3,0,11,9,0,0,0,0,50,3,3,50.0
4,5,Matthis Abline,fr FRA,"FW,MF",Rennes,19-183,2003,5,0,75,0.8,1,0,1,0,0,0,0,1.2,0.0,1.2,1.2,1.2,0.5,0.5,0.1,0.6,0.65,0.09,0.74,0.65,0.74,0e46fa2f,4,1,25.0,4.8,1.2,0.25,1.0,9.3,0,0.14,0.5,0.5,4,10,40.0,62,26,3,4,75.0,1,2,50.0,0,0,,-0.1,1,0,1,1,0,10,0,0,0,3,0,3,0,0,0,0,7,2,1,4,5,0,0,0,0,0,0,3,4,4.8,1,0,0,2,0,1,1,1.2,0,0,0,0,0,1,2,1,0,0,2,1,2,50.0,1,17,7,41.2,0,8,9,1,0,0,1,2,4,1,0,32,1,2,10,22,12,32,0,1,0.0,1,0,15,59,43,3,1,1,9,0,35,20,57.1,9,0,2,1,0,0,0,0,4,3,2,60.0
5,6,Zakaria Aboukhlal,ma MAR,"FW,DF",Toulouse,22-221,2000,8,7,611,6.8,2,1,2,0,0,0,0,0.29,0.15,0.44,0.29,0.44,1.2,1.2,1.2,2.4,0.18,0.18,0.36,0.18,0.36,c2a6033c,15,5,33.3,2.21,0.74,0.13,0.4,16.1,0,0.08,0.8,0.8,112,172,65.1,1457,366,81,98,82.7,28,45,62.2,1,8,12.5,-0.2,4,3,3,0,9,166,6,0,0,24,0,12,0,0,0,0,130,25,17,112,48,4,6,1,1,5,11,14,11,1.62,6,0,0,0,4,1,1,0.15,1,0,0,0,0,0,12,7,6,2,4,4,15,26.7,11,106,27,25.5,25,35,46,5,0,0,5,7,19,5,0,269,7,43,95,145,45,263,8,22,36.4,10,2,196,960,492,36,8,15,21,8,281,197,70.1,59,0,11,9,4,0,0,0,27,4,10,28.6
6,7,Mohamed Achi,fr FRA,MF,Nantes,20-254,2002,2,0,36,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.07,0.16,0.09,0.16,1e93fc5d,1,0,0.0,2.5,0.0,0.0,,25.0,0,0.04,0.0,0.0,19,22,86.4,307,104,9,9,100.0,9,11,81.8,1,2,50.0,0.0,1,1,0,0,2,21,1,0,0,1,0,0,1,0,1,0,19,1,2,19,3,0,0,0,0,0,1,0,2,5.0,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,8,2,25.0,1,4,3,0,0,0,0,2,3,0,0,26,0,6,13,11,0,25,3,3,100.0,3,0,25,118,81,3,1,0,0,2,22,20,90.9,1,0,2,0,0,0,0,0,2,0,0,
7,8,Martin Adeline,fr FRA,MF,Reims,18-299,2003,3,0,66,0.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,7587446d,1,0,0.0,1.36,0.0,0.0,,24.0,0,0.04,0.0,0.0,16,22,72.7,192,32,11,12,91.7,3,4,75.0,0,1,0.0,0.0,0,0,0,0,0,19,3,1,0,6,0,0,1,0,0,0,14,6,2,5,14,1,1,0,0,1,0,3,1,1.36,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,1,1,0,0,1,0.0,1,19,7,36.8,7,11,1,0,0,0,0,2,4,2,0,33,1,11,11,13,1,30,2,3,66.7,3,0,18,118,75,1,1,0,3,2,21,16,76.2,2,0,1,0,0,0,0,0,7,1,0,100.0
8,9,Emmanuel Agbadou,ci CIV,"DF,MF",Reims,25-102,1997,7,6,520,5.8,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,0.02,0.08,0.1,0.02,0.1,75f1ed80,4,2,50.0,0.69,0.35,0.0,0.0,13.9,0,0.03,-0.1,-0.1,216,255,84.7,4691,1751,68,74,91.9,109,118,92.4,38,59,64.4,-0.5,3,13,4,0,13,236,19,17,2,19,6,0,0,0,0,0,189,22,44,27,211,10,1,0,0,4,1,4,7,1.21,5,1,0,1,0,0,0,0.0,0,0,0,0,0,0,16,8,9,6,1,8,11,72.7,3,70,25,35.7,37,31,2,11,3,0,8,12,28,21,1,324,60,195,128,18,4,305,3,4,75.0,4,0,179,1074,528,12,3,1,4,2,179,172,96.1,2,0,9,3,0,0,0,0,62,11,10,52.4
9,10,Lucien Agoume,fr FRA,MF,Troyes,20-230,2002,2,1,73,0.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.58,0.58,0.0,0.58,8bc8829a,0,0,,0.0,0.0,,,,0,,0.0,0.0,25,32,78.1,418,105,11,13,84.6,13,16,81.3,1,3,33.3,-0.5,2,2,1,0,3,31,1,1,0,4,0,1,0,0,0,0,24,2,6,9,20,1,0,0,0,0,1,0,2,2.47,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,1,1,0,0,1,0.0,1,13,3,23.1,6,6,1,2,1,0,1,2,4,2,0,41,3,13,23,8,0,41,1,2,50.0,1,0,25,160,89,7,2,0,0,0,29,27,93.1,0,0,2,1,1,0,0,0,6,3,0,100.0
10,11,Ruben Aguilar,fr FRA,DF,Monaco,29-154,1993,6,4,318,3.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3dd738a1,0,0,,0.0,0.0,,,,0,,0.0,0.0,177,221,80.1,3029,1363,87,102,85.3,74,82,90.2,15,30,50.0,0.0,0,15,6,1,18,185,36,1,0,22,2,3,0,0,0,0,126,46,49,4,169,10,35,0,0,1,8,8,1,0.28,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,8,6,5,2,1,1,10,10.0,9,42,12,28.6,20,15,7,1,0,0,1,6,14,12,0,253,16,70,121,69,4,218,3,5,60.0,3,0,148,505,254,15,5,0,2,2,171,157,91.8,2,0,5,3,0,0,0,0,30,3,5,37.5
11,12,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,28-191,1994,8,5,418,4.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.3,0.06,0.21,0.28,0.06,0.28,48b28bfd,3,1,33.3,0.65,0.22,0.0,0.0,16.2,0,0.1,-0.3,-0.3,86,142,60.6,1311,459,49,66,74.2,29,51,56.9,5,17,29.4,-1.0,5,5,5,0,12,139,3,2,2,25,0,5,0,0,0,0,89,26,27,94,29,8,1,1,0,7,7,3,9,1.94,7,0,1,0,1,0,0,0.0,0,0,0,0,0,0,17,11,7,6,4,4,9,44.4,5,87,30,34.5,15,49,23,8,0,0,8,2,19,8,1,211,7,37,98,82,14,209,8,15,53.3,8,1,123,431,279,13,1,3,12,5,154,133,86.4,12,0,8,11,1,0,0,0,32,9,8,52.9
12,13,Ludovic Ajorque,re REU,FW,Strasbourg,28-214,1994,7,4,339,3.8,1,0,0,1,1,1,0,0.27,0.0,0.27,0.0,0.0,1.8,1.0,0.3,1.3,0.47,0.09,0.56,0.26,0.35,462475ed,11,3,27.3,2.92,0.8,0.0,0.0,15.1,1,0.09,-0.8,-1.0,94,125,75.2,1334,111,56,70,80.0,28,38,73.7,4,7,57.1,-0.3,6,3,2,0,3,122,3,0,0,37,1,1,0,0,0,0,65,43,17,73,15,14,0,7,0,1,7,2,8,2.12,8,0,0,0,0,0,1,0.27,1,0,0,0,0,0,1,0,0,1,0,1,1,100.0,0,30,9,30.0,1,12,17,2,0,0,2,1,2,2,0,157,2,13,82,68,24,152,0,2,0.0,0,0,66,279,123,7,4,0,6,1,207,133,64.3,31,0,7,6,1,0,0,0,10,18,20,47.4
13,14,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,20-214,2002,3,1,129,1.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.08,0.15,0.23,0.08,0.23,b625b241,1,1,100.0,0.7,0.7,0.0,0.0,8.1,0,0.12,-0.1,-0.1,42,56,75.0,583,153,26,30,86.7,16,21,76.2,0,1,0.0,-0.2,5,2,2,0,7,56,0,0,0,7,0,3,0,0,0,0,51,2,3,48,8,0,0,0,1,0,3,4,6,4.19,5,0,0,0,0,1,0,0.0,0,0,0,0,0,0,5,3,1,4,0,1,2,50.0,1,34,12,35.3,9,12,13,2,0,0,2,0,5,2,0,76,2,13,28,40,8,76,2,5,40.0,4,1,50,224,114,6,3,0,1,4,75,57,76.0,7,0,2,1,0,0,0,0,8,1,3,25.0
14,15,Doğan Alemdar,tr TUR,GK,Rennes,19-333,2002,3,2,225,2.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e17ccff,0,0,,0.0,0.0,,,,0,,0.0,0.0,50,73,68.5,1648,1241,9,9,100.0,18,18,100.0,23,46,50.0,0.0,0,1,0,0,0,48,25,7,0,2,1,0,0,0,0,0,32,2,39,6,60,0,0,4,1,4,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,80,66,80,0,0,0,56,0,0,,0,0,31,75,31,0,0,0,0,1,37,37,100.0,0,0,0,1,0,0,0,0,7,0,0,
15,16,Jim Allevinah,ga GAB,"FW,MF",Clermont Foot,27-212,1995,7,5,429,4.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,0.13,0.04,0.18,0.13,0.18,1956b948,9,2,22.2,1.89,0.42,0.0,0.0,15.6,0,0.07,-0.6,-0.6,106,140,75.7,1583,225,69,88,78.4,25,30,83.3,7,11,63.6,-0.2,2,10,1,0,5,140,0,0,0,29,4,9,0,0,0,0,118,10,12,27,109,2,0,0,0,3,6,9,4,0.84,3,0,0,1,0,0,1,0.21,0,0,0,1,0,0,10,4,5,3,2,6,14,42.9,8,67,21,31.3,20,20,27,7,0,0,7,2,12,3,0,213,7,45,100,87,23,213,6,12,50.0,6,0,175,1159,640,33,9,5,14,8,196,163,83.2,32,0,8,18,0,0,0,0,25,2,2,50.0
16,17,Mickaël Alphonse,gp GLP,DF,Ajaccio,33-077,1989,7,6,522,5.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.03,0.07,0.1,0.03,0.1,0a63446f,4,0,0.0,0.69,0.0,0.0,,17.1,0,0.04,-0.2,-0.2,190,285,66.7,3434,1714,95,107,88.8,68,95,71.6,25,70,35.7,-0.4,6,14,6,2,25,218,67,3,1,39,2,6,0,0,0,0,131,62,92,17,181,12,64,0,2,13,9,15,7,1.21,7,0,0,0,0,0,1,0.17,1,0,0,0,0,0,9,4,5,4,0,2,7,28.6,5,54,16,29.6,20,26,8,9,0,0,9,16,25,17,0,354,14,90,194,89,4,287,4,6,66.7,4,1,186,964,608,22,9,1,5,7,187,173,92.5,7,0,8,4,0,0,0,0,55,18,13,58.1
17,18,Benjamin André,fr FRA,MF,Lille,32-055,1990,8,8,688,7.6,1,1,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,0.4,0.4,0.6,1.0,0.06,0.07,0.13,0.06,0.13,ef9c1c95,7,1,14.3,0.92,0.13,0.14,1.0,13.9,0,0.06,0.6,0.6,467,540,86.5,8649,2393,219,247,88.7,171,185,92.4,61,81,75.3,0.4,7,64,8,0,51,530,10,10,2,90,20,1,0,0,0,0,392,60,88,70,428,20,0,4,0,7,18,11,16,2.09,15,0,0,0,0,1,2,0.26,2,0,0,0,0,0,32,25,12,17,3,9,20,45.0,11,158,54,34.2,56,82,20,17,4,0,13,9,41,20,0,644,32,161,415,100,10,634,6,9,66.7,6,0,385,1817,919,39,10,0,5,14,472,451,95.6,11,0,18,13,0,0,0,0,93,30,16,65.2
18,19,Komnen Andrić,rs SRB,FW,Clermont Foot,27-088,1995,8,7,501,5.6,2,1,1,1,1,2,0,0.36,0.18,0.54,0.18,0.36,2.1,1.3,0.5,1.9,0.38,0.1,0.47,0.24,0.33,af3ddb2e,13,3,23.1,2.34,0.54,0.08,0.33,11.4,0,0.1,-0.1,-0.3,101,139,72.7,1477,114,56,73,76.7,33,42,78.6,5,6,83.3,0.5,6,0,2,0,4,122,17,0,0,39,1,1,0,0,0,0,101,23,15,16,102,2,0,7,1,1,10,8,11,1.98,9,0,0,1,1,0,3,0.54,1,0,0,1,1,0,6,5,2,3,1,1,8,12.5,7,59,17,28.8,7,20,32,6,1,0,5,4,10,2,0,209,3,13,130,72,23,191,2,3,66.7,2,0,124,401,136,9,1,1,14,15,210,148,70.5,38,0,4,13,2,0,0,0,23,13,13,50.0
19,20,Houssem Aouar,fr FRA,MF,Lyon,24-089,1998,1,1,29,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.5,0.5,0.0,0.5,a5db0bec,0,0,,0.0,0.0,,,,0,,0.0,0.0,15,16,93.8,222,59,11,12,91.7,3,3,100.0,1,1,100.0,-0.2,1,2,0,0,1,15,1,0,1,2,1,0,1,0,0,0,13,1,2,1,14,1,0,0,0,0,0,0,2,6.21,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,7,2,28.6,1,4,2,1,0,0,1,0,1,1,0,20,0,2,14,4,0,19,0,0,,0,0,13,33,4,0,0,0,1,0,17,15,88.2,2,0,0,0,0,0,0,0,1,0,0,
20,21,Adil Aouchiche,fr FRA,MF,Lorient,20-074,2002,1,0,19,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b94b8be1,0,0,,0.0,0.0,,,,0,,0.0,0.0,4,4,100.0,59,13,2,2,100.0,2,2,100.0,0,0,,0.0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6,1,16.7,3,3,0,0,0,0,0,0,0,0,0,5,0,0,4,1,0,5,0,1,0.0,0,0,4,35,25,1,0,0,0,0,7,5,71.4,1,0,0,0,0,0,0,0,0,0,1,0.0
21,22,Dennis Appiah,fr FRA,DF,Nantes,30-110,1992,8,5,436,4.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.4,0.05,0.03,0.07,0.05,0.07,feb5d3ab,5,1,20.0,1.03,0.21,0.0,0.0,19.6,0,0.05,-0.2,-0.2,180,246,73.2,3100,1367,89,103,86.4,74,99,74.7,16,38,42.1,-0.1,3,12,2,2,11,206,40,5,0,16,1,9,1,0,1,0,151,41,54,36,162,8,34,1,1,7,7,8,7,1.44,4,1,2,0,0,0,0,0.0,0,0,0,0,0,0,12,8,7,4,1,7,20,35.0,13,79,24,30.4,40,30,9,9,4,0,5,6,18,11,0,297,28,91,151,74,4,257,6,10,60.0,6,0,178,824,388,16,3,0,4,5,197,178,90.4,8,0,8,1,0,0,0,0,34,8,5,61.5
22,23,Lorenz Assignon,tg TOG,DF,Rennes,22-097,2000,3,1,80,0.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.11,0.0,0.11,0.11,0.11,b026bbf6,2,1,50.0,2.25,1.13,0.0,0.0,14.2,0,0.05,-0.1,-0.1,52,55,94.5,966,215,14,15,93.3,35,35,100.0,3,5,60.0,0.0,0,1,0,0,2,47,8,1,0,1,0,0,0,0,0,0,43,9,3,0,46,1,7,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,2,0,0,0,0,,0,7,3,42.9,3,1,3,4,0,0,4,2,4,1,0,71,5,21,37,14,2,63,0,1,0.0,0,0,40,49,36,0,0,0,3,1,47,43,91.5,2,0,1,1,0,0,0,0,10,1,0,100.0
23,24,Youcef Atal,dz ALG,DF,Nice,26-133,1996,6,2,232,2.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.04,0.11,0.15,0.04,0.15,6a827d8e,3,2,66.7,1.16,0.78,0.0,0.0,23.3,0,0.03,-0.1,-0.1,111,140,79.3,1829,708,60,63,95.2,37,45,82.2,10,20,50.0,-0.3,4,10,7,1,16,116,24,0,0,10,3,11,0,0,0,0,82,36,22,7,104,5,24,0,0,1,3,6,8,3.1,7,0,0,0,1,0,1,0.39,1,0,0,0,0,0,6,3,4,2,0,3,5,60.0,2,32,6,18.8,18,9,5,2,0,0,2,7,13,6,0,178,5,44,84,72,3,154,4,14,28.6,6,0,121,641,445,15,7,2,4,3,126,114,90.5,6,0,9,6,0,0,0,0,19,3,5,37.5
24,25,Mathias Autret,fr FRA,MF,Auxerre,31-210,1991,8,7,538,6.0,2,0,1,1,1,0,0,0.33,0.0,0.33,0.17,0.17,1.6,0.8,0.3,1.2,0.27,0.06,0.33,0.14,0.2,7dfbba27,8,6,75.0,1.34,1.0,0.13,0.17,23.8,0,0.1,0.4,0.2,185,238,77.7,4060,1008,69,81,85.2,76,94,80.9,39,58,67.2,-0.3,2,23,3,1,18,220,18,6,0,34,20,10,5,3,2,0,139,35,64,21,196,9,7,1,1,6,9,3,7,1.17,2,3,0,1,0,1,2,0.33,0,1,0,1,0,0,8,4,2,5,1,2,7,28.6,5,73,24,32.9,27,33,13,8,2,0,6,2,10,2,0,281,8,50,155,94,10,262,6,10,60.0,7,0,178,900,416,24,5,2,3,5,220,195,88.6,22,0,2,3,1,0,0,0,40,4,4,50.0
25,26,Cédric Avinel,gp GLP,DF,Ajaccio,36-016,1986,4,3,276,3.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a94d93be,0,0,,0.0,0.0,,,,0,,0.0,0.0,78,93,83.9,1454,569,28,32,87.5,42,47,89.4,7,13,53.8,0.0,0,3,1,0,4,87,6,6,0,9,1,0,0,0,0,0,63,9,21,9,71,9,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,5,3,2,0,1,3,33.3,2,15,8,53.3,6,9,0,2,1,0,1,7,12,20,1,125,16,79,49,0,0,119,0,0,,0,0,51,249,115,2,0,0,0,0,58,58,100.0,0,0,2,0,0,0,1,0,24,8,2,80.0
26,27,Loïc Bade,fr FRA,DF,Rennes,22-169,2000,1,1,90,1.0,0,1,0,0,0,1,0,0.0,1.0,1.0,0.0,1.0,0.2,0.2,0.0,0.2,0.18,0.0,0.18,0.18,0.18,114bbdee,2,0,0.0,2.0,0.0,0.0,,8.0,0,0.09,-0.2,-0.2,56,61,91.8,1420,368,9,9,100.0,28,30,93.3,19,22,86.4,1.0,0,2,0,0,2,61,0,0,0,5,3,0,0,0,0,0,48,5,8,1,53,4,0,0,0,1,0,0,1,1.0,0,0,0,1,0,0,1,1.0,0,0,0,1,0,0,1,0,1,0,0,0,0,,0,5,2,40.0,4,1,0,0,0,0,0,0,1,4,0,68,7,39,28,2,2,68,0,0,,0,0,46,137,64,1,0,0,0,0,51,51,100.0,0,0,3,2,0,0,0,0,9,4,3,57.1
27,28,Benoît Badiashile,fr FRA,DF,Monaco,21-185,2001,7,5,504,5.6,2,0,2,0,0,1,0,0.36,0.0,0.36,0.36,0.36,0.4,0.4,0.2,0.6,0.06,0.04,0.11,0.06,0.11,06df8256,5,3,60.0,0.89,0.54,0.4,0.67,15.6,0,0.07,1.6,1.6,244,279,87.5,5400,2100,65,74,87.8,129,139,92.8,48,62,77.4,-0.2,1,29,3,0,19,271,8,8,0,25,5,0,0,0,0,0,216,28,35,208,52,11,0,0,0,5,3,2,4,0.71,1,0,0,2,0,1,0,0.0,0,0,0,0,0,0,10,5,6,4,0,2,6,33.3,4,50,15,30.0,26,23,1,13,5,0,8,10,20,26,1,343,57,159,185,13,8,335,0,1,0.0,0,0,204,959,509,18,0,0,2,1,217,213,98.2,0,0,7,1,0,0,0,0,49,15,7,68.2
28,29,Eric Bailly,ci CIV,DF,Marseille,28-168,1994,3,1,168,1.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,a1232f4e,1,1,100.0,0.54,0.54,0.0,0.0,11.0,0,0.05,0.0,0.0,74,88,84.1,1508,497,27,33,81.8,35,38,92.1,12,17,70.6,0.0,0,3,1,0,4,86,2,1,0,5,3,0,0,0,0,0,64,5,19,12,65,6,1,0,0,1,1,1,1,0.54,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,3,2,3,0,1,1,100.0,0,28,12,42.9,9,17,2,6,4,0,2,7,12,8,0,113,9,57,56,7,2,111,1,1,100.0,1,0,58,446,188,5,0,0,0,0,62,62,100.0,0,0,3,1,0,0,0,0,20,8,3,72.7
29,30,Brandon Baiye,be BEL,MF,Clermont Foot,21-274,2000,3,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7e3e825e,0,0,,0.0,0.0,,,,0,,0.0,0.0,4,4,100.0,42,0,3,3,100.0,1,1,100.0,0,0,,0.0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,7,3,42.9,5,1,1,0,0,0,0,0,0,1,0,5,1,1,3,1,0,5,0,0,,0,0,3,9,1,0,0,0,0,0,4,3,75.0,0,0,0,0,0,0,0,0,1,0,1,0.0
