Unnamed: 0,ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
375,376,Mamadou Sakho,fr FRA,DF,Montpellier,32-226,1990,6,4,382,4.2,1,0,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24,0.4,0.4,0.0,0.4,0.09,0.0,0.09,0.09,0.09,87935cf3,2,1,50.0,0.47,0.24,0.5,1.0,7.0,0,0.19,0.6,0.6,227,256,88.7,4509,1486,80,84,95.2,117,127,92.1,28,42,66.7,0.0,0,6,1,0,8,244,12,12,0,23,4,0,0,0,0,0,217,14,25,206,35,6,0,1,1,1,5,0,2,0.47,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,5,3,1,4,0,1,2,50.0,1,11,3,27.3,7,4,0,6,5,0,1,4,9,23,0,296,27,131,177,4,2,285,0,0,,0,0,190,830,502,9,0,0,0,0,216,214,99.1,2,0,2,4,0,0,1,0,30,17,10,63.0
376,377,Amine Salama,fr FRA,"FW,MF",Angers,22-071,2000,6,1,189,2.1,1,1,1,0,0,0,0,0.48,0.48,0.95,0.48,0.95,0.8,0.8,0.4,1.2,0.39,0.2,0.59,0.39,0.59,bc7cc472,5,1,20.0,2.38,0.48,0.2,1.0,14.2,0,0.16,0.2,0.2,43,56,76.8,637,148,25,31,80.6,17,20,85.0,1,2,50.0,0.6,4,1,2,0,4,56,0,0,0,17,1,3,0,0,0,0,42,6,8,10,41,2,0,1,0,0,2,3,8,3.81,6,0,1,0,0,1,3,1.43,2,0,1,0,0,0,3,1,0,2,1,1,4,25.0,3,27,8,29.6,5,12,10,4,2,0,2,1,4,1,0,84,2,9,30,49,12,84,4,6,66.7,5,0,60,298,128,9,2,0,10,2,90,65,72.2,21,0,1,0,1,0,0,0,8,3,7,30.0
377,378,Yoann Salmier,gf GUF,DF,Troyes,29-310,1992,7,7,557,6.2,1,0,1,0,0,1,1,0.16,0.0,0.16,0.16,0.16,0.7,0.7,0.0,0.7,0.11,0.0,0.11,0.11,0.11,c3725db2,4,2,50.0,0.65,0.32,0.25,0.5,13.9,0,0.17,0.3,0.3,225,268,84.0,4298,1939,84,90,93.3,113,129,87.6,26,46,56.5,0.0,0,19,0,0,16,262,6,5,0,27,9,0,0,0,0,0,203,16,49,44,200,17,1,2,0,3,11,0,2,0.32,1,0,0,0,1,0,1,0.16,0,0,0,0,1,0,13,8,5,7,1,4,9,44.4,5,53,20,37.7,34,17,2,14,6,0,8,11,24,27,0,339,50,189,154,20,5,333,1,2,50.0,1,0,205,1094,637,21,5,0,2,4,215,210,97.7,1,0,8,4,0,1,0,0,53,8,11,42.1
378,379,Mama Samba Baldé,gw GNB,FW,Troyes,26-325,1995,8,7,595,6.6,5,2,5,0,0,0,0,0.76,0.3,1.06,0.76,1.06,3.1,3.1,0.5,3.6,0.47,0.07,0.54,0.47,0.54,fb14aa28,22,11,50.0,3.33,1.66,0.23,0.45,17.5,0,0.14,1.9,1.9,88,120,73.3,1442,224,43,55,78.2,34,43,79.1,8,12,66.7,1.5,4,6,1,0,9,103,17,0,1,26,3,1,0,0,0,0,97,14,9,21,88,3,0,4,0,2,2,9,17,2.57,8,0,5,2,1,1,5,0.76,2,0,1,0,1,1,14,10,6,5,3,4,10,40.0,6,124,40,32.3,18,62,44,6,1,0,5,4,18,1,0,216,3,29,113,94,33,199,13,20,65.0,14,2,142,719,423,18,7,7,24,10,215,133,61.9,40,0,8,9,3,1,0,0,33,5,13,27.8
379,380,Brice Samba,cg CGO,GK,Lens,28-155,1994,8,8,720,8.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60d90c55,0,0,,0.0,0.0,,,,0,,0.0,0.0,209,260,80.4,5722,3303,43,43,100.0,91,91,100.0,70,121,57.9,0.0,0,2,0,0,1,215,45,15,1,24,12,0,0,0,0,0,163,5,92,169,55,1,0,26,0,3,5,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,276,223,275,2,0,0,231,1,1,100.0,1,0,159,675,389,0,0,0,0,0,165,165,100.0,0,0,0,1,0,0,0,0,35,0,0,
380,381,Renato Sanches,pt POR,MF,Paris S-G,25-040,1997,5,1,176,2.0,1,0,1,0,0,0,0,0.51,0.0,0.51,0.51,0.51,0.9,0.9,0.1,0.9,0.44,0.03,0.48,0.44,0.48,032f894e,4,1,25.0,2.05,0.51,0.25,1.0,13.8,0,0.22,0.1,0.1,151,158,95.6,2447,450,82,87,94.3,58,59,98.3,8,8,100.0,-0.1,1,13,1,0,12,158,0,0,0,13,3,2,0,0,0,0,145,6,7,15,139,2,0,1,0,0,1,1,5,2.56,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2,2,0,2,0,0,5,0.0,5,30,6,20.0,8,15,7,0,0,0,0,2,4,0,0,169,0,28,108,45,8,169,2,2,100.0,2,0,150,687,423,13,6,1,1,1,153,148,96.7,12,0,4,1,0,0,0,0,15,1,0,100.0
381,382,Alexis Sánchez,cl CHI,"FW,MF",Marseille,33-282,1988,7,5,467,5.2,4,0,4,0,1,0,0,0.77,0.0,0.77,0.77,0.77,3.2,2.4,0.9,3.3,0.61,0.17,0.79,0.46,0.64,2c0f8e9e,14,7,50.0,2.7,1.35,0.29,0.57,12.4,0,0.17,0.8,1.6,138,184,75.0,2225,599,79,96,82.3,45,61,73.8,12,21,57.1,-0.9,11,12,5,0,16,173,11,1,0,29,3,7,4,3,0,0,124,27,33,7,165,6,0,0,2,5,12,3,17,3.28,12,1,1,2,1,0,0,0.0,0,0,0,0,0,0,2,1,0,1,1,0,1,0.0,1,86,36,41.9,4,26,56,5,0,0,5,2,4,0,0,255,1,12,116,135,38,244,7,8,87.5,8,0,182,684,175,12,2,6,16,18,274,197,71.9,54,0,7,9,5,0,0,0,31,8,23,25.8
382,383,Baptiste Santamaria,fr FRA,MF,Rennes,27-202,1995,7,7,551,6.1,1,0,1,0,0,2,0,0.16,0.0,0.16,0.16,0.16,0.5,0.5,0.2,0.8,0.09,0.04,0.13,0.09,0.13,5e22e2a4,7,5,71.4,1.14,0.82,0.14,0.2,18.8,0,0.08,0.5,0.5,409,461,88.7,8811,1849,142,161,88.2,177,193,91.7,82,94,87.2,-0.2,6,49,4,0,40,451,10,10,1,45,23,1,0,0,0,0,339,42,80,17,405,24,0,0,0,2,7,5,17,2.78,16,0,0,1,0,0,0,0.0,0,0,0,0,0,0,18,13,4,14,0,4,16,25.0,12,69,23,33.3,20,41,8,7,2,0,5,8,26,7,0,526,8,105,376,82,5,516,4,6,66.7,4,0,350,1658,863,29,7,0,3,8,393,377,95.9,13,0,10,5,0,0,0,0,87,20,8,71.4
383,384,Pablo Sarabia,es ESP,FW,Paris S-G,30-139,1992,5,2,169,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.0,0.35,0.2,0.55,0.35,0.55,9744ff80,2,0,0.0,1.07,0.0,0.0,,9.3,0,0.33,-0.7,-0.7,54,70,77.1,830,205,32,35,91.4,16,20,80.0,5,8,62.5,-0.4,3,4,3,0,5,67,3,0,1,6,2,2,3,1,2,0,53,8,9,57,11,0,0,2,0,1,2,5,7,3.73,4,2,0,0,1,0,1,0.53,1,0,0,0,0,0,1,1,1,0,0,0,4,0.0,4,34,9,26.5,9,11,14,2,1,0,1,1,2,0,0,83,0,13,38,35,9,80,2,3,66.7,2,0,72,202,80,7,2,0,3,4,87,69,79.3,20,0,1,2,2,0,0,0,9,0,1,0.0
384,385,Muhammed Saracevic Cham,at AUT,"MF,FW",Clermont Foot,22-001,2000,8,7,540,6.0,3,1,3,0,0,0,0,0.5,0.17,0.67,0.5,0.67,1.1,1.1,0.7,1.8,0.18,0.12,0.3,0.18,0.3,f527a32c,11,5,45.5,1.83,0.83,0.27,0.6,19.9,1,0.1,1.9,1.9,222,277,80.1,3877,997,118,132,89.4,75,88,85.2,27,48,56.3,0.3,9,19,14,1,30,248,29,12,2,34,9,8,14,9,3,0,204,27,46,243,21,5,3,2,3,3,9,12,17,2.83,11,4,0,1,1,0,2,0.33,2,0,0,0,0,0,8,4,2,2,4,1,6,16.7,5,96,24,25.0,23,39,34,2,0,0,2,2,10,1,0,348,2,46,186,151,14,321,5,13,38.5,6,2,270,1307,757,34,14,4,10,18,303,263,86.8,24,0,9,15,0,0,0,0,39,3,1,75.0
